Date,Open,High,Low,Close,Volume,Adj Close
2007-05-09,150.64,152.82,150.37,151.16,102070100,141.54
2007-05-10,150.73,151.02,149.27,149.58,153617800,140.06
2007-05-11,149.75,150.93,149.72,150.86,113408900,141.26
2007-05-14,150.86,151.30,149.79,150.53,108027500,140.95
2007-05-15,150.70,151.66,150.19,150.57,180673300,140.99
2007-05-16,150.80,151.63,150.38,151.60,114166500,141.95
2007-05-17,151.38,151.96,151.11,151.30,101132800,141.67
2007-05-18,152.01,152.62,151.81,152.62,99182000,142.91
2007-05-21,152.58,153.23,152.50,152.54,174664600,142.83
2007-05-22,152.70,153.16,152.38,152.42,82148800,142.72
2007-05-23,152.95,153.50,152.36,152.44,133786600,142.74
2007-05-24,152.53,153.21,150.74,151.06,187593000,141.45
2007-05-25,151.50,152.02,151.18,151.69,83309200,142.04
2007-05-29,151.94,152.50,151.45,152.24,82020000,142.55
2007-05-30,151.46,153.54,151.34,153.48,129013600,143.71
2007-05-31,153.67,153.89,153.12,153.32,114866700,143.56
2007-06-01,153.88,154.40,153.51,154.08,107771700,144.28
2007-06-04,153.54,154.39,153.48,154.10,78008800,144.29
2007-06-05,153.74,153.90,152.86,153.49,126917900,143.72
2007-06-06,152.86,152.95,151.75,151.84,164096800,142.18
2007-06-07,151.56,152.50,149.06,149.10,232414600,139.61
2007-06-08,149.58,151.19,149.09,151.04,175886000,141.43
2007-06-11,150.93,151.95,150.70,151.30,102015600,141.67
2007-06-12,150.67,151.54,149.55,149.65,233898000,140.13
2007-06-13,150.50,152.07,149.72,151.89,193208200,142.23
2007-06-14,152.06,153.12,152.03,152.86,146396500,143.13
2007-06-15,153.14,153.66,152.93,153.07,154030800,143.95
2007-06-18,153.38,153.39,152.66,152.89,88537500,143.78
2007-06-19,152.55,153.38,152.36,153.27,110851700,144.14
2007-06-20,153.58,153.58,150.96,151.14,177119700,142.13
2007-06-21,151.08,152.11,150.25,151.98,205262000,142.92
2007-06-22,151.52,151.77,149.85,150.55,204964700,141.58
2007-06-25,150.24,151.25,149.02,149.83,232014400,140.90
2007-06-26,150.21,150.46,148.28,148.29,198445700,139.45
2007-06-27,148.13,150.57,148.06,150.40,213638000,141.44
2007-06-28,150.38,151.41,149.67,150.38,157705000,141.42
2007-06-29,150.90,151.65,149.15,150.43,199701800,141.47
2007-07-02,150.87,151.92,150.77,151.79,103357000,142.74
2007-07-03,152.18,152.50,151.99,152.34,54048400,143.26
2007-07-05,152.40,152.56,151.63,152.18,89279000,143.11
2007-07-06,152.38,153.17,151.93,152.98,81109000,143.86
2007-07-09,153.16,153.36,152.62,153.10,72348100,143.98
2007-07-10,152.29,152.61,150.77,150.92,180362600,141.93
2007-07-11,150.75,152.05,150.52,151.99,175607600,142.93
2007-07-12,152.37,154.75,152.34,154.39,133882500,145.19
2007-07-13,154.57,155.46,154.39,154.85,111794300,145.62
2007-07-16,154.99,155.53,154.58,154.83,98378700,145.60
2007-07-17,154.93,155.48,154.68,154.75,126201300,145.53
2007-07-18,154.23,154.80,153.30,154.47,237887400,145.26
2007-07-19,155.20,155.53,154.75,155.07,145212700,145.83
2007-07-20,154.89,154.99,152.83,153.50,245502500,144.35
2007-07-23,154.18,154.72,153.30,153.97,121183900,144.79
2007-07-24,153.12,154.28,150.76,151.30,256732400,142.28
2007-07-25,152.02,152.39,150.25,151.61,265214500,142.58
2007-07-26,150.19,150.80,146.39,148.02,467592500,139.20
2007-07-27,148.21,148.87,145.05,145.11,422987600,136.46
2007-07-30,145.93,147.81,145.29,147.38,283017500,138.60
2007-07-31,148.33,149.46,145.04,145.72,316976700,137.04
2007-08-01,145.18,147.01,143.95,146.43,467670000,137.70
2007-08-02,146.76,147.76,145.26,147.60,294758400,138.80
2007-08-03,147.28,147.58,143.20,143.80,359398200,135.23
2007-08-06,144.21,146.83,142.53,146.21,324980000,137.50
2007-08-07,145.94,149.00,145.23,147.77,232568700,138.96
2007-08-08,148.41,150.59,147.34,149.83,274930600,140.90
2007-08-09,147.43,148.95,145.29,145.39,357622100,136.73
2007-08-10,144.39,146.50,143.12,144.71,411018400,136.09
2007-08-13,146.50,146.89,145.02,145.23,181917200,136.58
2007-08-14,145.70,146.06,142.72,143.01,264134500,134.49
2007-08-15,142.72,144.46,140.62,141.04,323834000,132.63
2007-08-16,139.79,142.94,137.00,142.10,546743700,133.63
2007-08-17,145.50,145.81,141.39,144.71,388218100,136.09
2007-08-20,145.17,145.47,143.29,144.64,187320400,136.02
2007-08-21,144.60,145.97,144.14,144.93,157066400,136.29
2007-08-22,146.01,146.80,145.33,146.65,173156700,137.91
2007-08-23,147.34,147.65,145.61,146.52,203915300,137.79
2007-08-24,146.48,148.33,146.28,148.33,128901900,139.49
2007-08-27,147.85,148.33,146.73,146.95,113024300,138.19
2007-08-28,146.16,146.25,143.46,143.72,219790700,135.16
2007-08-29,144.37,146.74,143.96,146.54,207654200,137.81
2007-08-30,145.45,147.19,145.31,146.15,191817300,137.44
2007-08-31,147.65,148.50,146.83,147.59,185477500,138.79
2007-09-04,147.45,149.98,147.40,149.08,120062000,140.20
2007-09-05,148.20,148.36,147.00,147.79,166261800,138.98
2007-09-06,147.95,148.61,147.12,148.13,127878400,139.30
2007-09-07,146.48,146.89,145.26,146.07,235447600,137.37
2007-09-10,146.52,146.72,144.33,145.79,192305900,137.10
2007-09-11,146.24,147.70,146.13,147.49,162081900,138.70
2007-09-12,147.29,148.44,146.98,147.87,149554600,139.06
2007-09-13,148.55,149.45,148.20,148.91,154079000,140.04
2007-09-14,147.96,149.09,147.74,148.90,121911000,140.03
2007-09-17,148.31,148.65,147.63,148.10,109870800,139.27
2007-09-18,148.83,152.50,148.13,152.46,263759500,143.37
2007-09-19,153.41,154.39,152.71,153.36,193779900,144.22
2007-09-20,153.34,153.43,152.11,152.28,175186800,143.21
2007-09-21,152.71,153.12,151.74,151.97,141457500,143.59
2007-09-24,152.42,152.82,151.36,151.69,139450200,143.33
2007-09-25,150.81,151.66,150.47,151.39,142289900,143.04
2007-09-26,152.25,152.77,151.39,152.19,135547000,143.80
2007-09-27,152.91,153.10,152.19,153.09,102713300,144.65
2007-09-28,152.85,153.19,151.98,152.58,133372100,144.17
2007-10-01,152.60,154.75,152.50,154.30,148162300,145.79
2007-10-02,154.61,154.65,153.81,154.09,112978800,145.59
2007-10-03,153.81,154.41,153.01,153.78,119055900,145.30
2007-10-04,154.11,154.26,153.59,154.02,76864400,145.53
2007-10-05,155.03,156.10,154.63,155.85,134579700,147.26
2007-10-08,155.39,155.49,154.77,155.02,71280400,146.47
2007-10-09,155.60,156.50,155.03,156.48,94054300,147.85
2007-10-10,156.04,156.44,155.41,156.22,101711100,147.61
2007-10-11,156.93,157.52,154.54,155.47,233529100,146.90
2007-10-12,155.46,156.35,155.27,156.33,124546700,147.71
2007-10-15,156.27,156.36,153.94,155.01,161151900,146.46
2007-10-16,154.41,154.52,153.47,153.78,166525700,145.30
2007-10-17,154.98,155.09,152.47,154.25,216687300,145.75
2007-10-18,153.45,154.19,153.08,153.69,148367500,145.22
2007-10-19,153.09,156.48,149.66,149.67,297169900,141.42
2007-10-22,148.86,150.76,148.66,150.54,261989800,142.24
2007-10-23,151.46,151.95,150.25,151.76,180085100,143.39
2007-10-24,151.21,151.74,148.84,151.48,326694200,143.13
2007-10-25,151.65,152.29,149.88,151.84,237374500,143.47
2007-10-26,153.06,153.62,151.90,153.62,176484000,145.15
2007-10-29,153.93,154.44,153.55,154.13,106841000,145.63
2007-10-30,153.45,153.75,152.87,153.06,132981600,144.62
2007-10-31,153.98,155.27,152.84,154.65,220954400,146.12
2007-11-01,153.29,153.41,150.59,151.03,333040800,142.70
2007-11-02,151.53,152.00,149.21,151.20,331228200,142.86
2007-11-05,149.64,151.16,148.97,150.05,226841000,141.78
2007-11-06,150.86,152.11,149.90,152.07,177800500,143.69
2007-11-07,150.44,151.13,147.55,147.91,306639700,139.76
2007-11-08,147.99,148.40,145.07,147.16,374509900,139.05
2007-11-09,145.69,147.54,144.89,145.14,277745100,137.14
2007-11-12,145.21,146.61,143.70,143.70,243087800,135.78
2007-11-13,145.37,148.31,145.22,148.08,191117400,139.92
2007-11-14,149.22,149.40,146.78,147.67,230558800,139.53
2007-11-15,146.57,147.49,144.52,145.54,263111100,137.52
2007-11-16,146.31,146.47,144.57,145.79,308770600,137.75
2007-11-19,145.28,145.36,143.19,143.76,267746000,135.83
2007-11-20,144.02,145.53,142.11,144.64,414767500,136.67
2007-11-21,143.08,143.91,141.67,141.68,259012400,133.87
2007-11-23,143.07,144.34,142.70,144.13,77688400,136.18
2007-11-26,144.43,144.88,140.66,140.95,214232000,133.18
2007-11-27,141.74,143.23,140.95,142.57,293897900,134.71
2007-11-28,144.19,147.47,144.14,147.13,258596900,139.02
2007-11-29,146.62,147.72,146.10,147.18,199409900,139.07
2007-11-30,149.04,149.87,147.33,148.66,222908000,140.46
2007-12-03,148.19,148.45,147.29,147.68,146430400,139.54
2007-12-04,146.66,147.54,146.31,146.36,136533900,138.29
2007-12-05,147.93,149.20,147.83,148.81,171130000,140.61
2007-12-06,148.63,151.21,148.57,150.94,154457400,142.62
2007-12-07,151.42,151.50,150.55,150.91,148980100,142.59
2007-12-10,151.28,152.25,150.86,152.08,123914300,143.70
2007-12-11,152.14,152.89,147.83,147.91,250346400,139.76
2007-12-12,151.06,151.77,147.20,149.37,322435600,141.13
2007-12-13,148.32,149.39,147.30,149.06,237551300,140.84
2007-12-14,147.93,149.10,147.10,147.17,159152900,139.06
2007-12-17,146.61,146.87,144.86,145.07,177269400,137.07
2007-12-18,146.10,146.48,143.96,145.88,245569300,137.84
2007-12-19,145.94,146.89,144.94,145.88,198917200,137.84
2007-12-20,146.84,146.86,145.18,146.80,214813800,138.71
2007-12-21,147.37,148.42,147.09,148.13,146084400,140.71
2007-12-24,148.82,149.48,148.48,149.23,45601400,141.75
2007-12-26,148.65,149.68,148.50,149.55,67093100,142.05
2007-12-27,149.02,149.03,147.32,147.67,122981700,140.27
2007-12-28,148.54,148.61,146.90,147.30,116398100,139.92
2007-12-31,147.10,147.61,146.06,146.21,108126800,138.88
2008-01-02,146.53,146.99,143.88,144.93,204935600,137.67
2008-01-03,144.91,145.49,144.07,144.86,125133300,137.60
2008-01-04,143.34,143.44,140.91,141.31,232330900,134.23
2008-01-07,141.81,142.23,140.10,141.19,234991000,134.11
2008-01-08,142.08,142.90,138.44,138.91,326365700,131.95
2008-01-09,139.09,140.79,137.70,140.37,301824900,133.34
2008-01-10,139.68,142.80,139.37,141.29,335701200,134.21
2008-01-11,140.78,141.90,139.00,140.15,267076600,133.13
2008-01-14,141.16,141.86,140.40,141.28,170365500,134.20
2008-01-15,139.79,141.49,137.90,138.17,239940100,131.25
2008-01-16,137.36,139.12,136.28,136.98,378802600,130.11
2008-01-17,137.81,137.88,132.93,133.43,397892600,126.74
2008-01-18,134.74,135.02,131.10,132.06,348561500,125.44
2008-01-22,127.21,132.43,126.00,130.72,435923700,124.17
2008-01-23,127.09,134.19,126.84,133.86,511913000,127.15
2008-01-24,134.48,135.46,133.31,134.99,259949300,128.22
2008-01-25,136.51,136.76,132.60,133.04,269603900,126.37
2008-01-28,133.26,135.52,132.06,135.24,217934600,128.46
2008-01-29,136.10,136.45,134.88,135.91,168968300,129.10
2008-01-30,135.58,138.54,134.60,134.91,334939200,128.15
2008-01-31,133.40,138.54,133.20,137.37,343680800,130.49
2008-02-01,137.94,139.61,137.52,139.58,206843600,132.58
2008-02-04,139.21,139.30,137.64,137.82,124694300,130.91
2008-02-05,135.94,136.25,133.67,134.13,286882500,127.41
2008-02-06,134.58,135.25,132.41,133.05,250792900,126.38
2008-02-07,131.80,134.79,131.73,133.93,297368100,127.22
2008-02-08,133.09,134.22,132.10,133.07,221643500,126.40
2008-02-11,133.10,134.23,132.04,133.75,188576300,127.05
2008-02-12,134.91,136.31,133.98,134.99,256654400,128.22
2008-02-13,136.01,137.06,135.14,136.37,181967800,129.54
2008-02-14,136.95,137.00,134.79,135.17,215108500,128.40
2008-02-15,134.50,135.22,133.91,135.14,154110300,128.37
2008-02-19,136.72,136.89,134.61,135.52,145190000,128.73
2008-02-20,133.99,136.55,133.76,135.92,220085700,129.11
2008-02-21,136.66,137.01,134.07,134.79,201051200,128.03
2008-02-22,134.97,135.85,132.86,135.62,205491000,128.82
2008-02-25,135.54,137.65,134.78,137.33,190107000,130.45
2008-02-26,136.75,138.95,136.50,138.36,212420700,131.43
2008-02-27,137.56,139.14,137.41,138.22,168395800,131.29
2008-02-28,137.24,137.96,136.55,136.87,170831100,130.01
2008-02-29,135.60,135.68,132.78,133.82,252715200,127.11
2008-03-03,133.14,133.81,132.24,133.50,189483500,126.81
2008-03-04,132.23,133.40,130.99,132.99,282513100,126.32
2008-03-05,133.42,134.77,132.34,133.83,270681400,127.12
2008-03-06,132.98,133.22,130.55,131.06,247911700,124.49
2008-03-07,129.77,131.74,128.58,129.71,326434600,123.21
2008-03-10,129.84,129.93,127.59,128.00,235683300,121.58
2008-03-11,130.72,132.72,128.95,132.60,341440600,125.95
2008-03-12,132.74,133.77,131.16,131.36,229161100,124.78
2008-03-13,129.61,132.64,128.60,131.65,351504200,125.05
2008-03-14,132.77,132.81,127.78,129.61,484687800,123.11
2008-03-17,126.57,129.26,126.07,128.30,405311100,121.87
2008-03-18,130.62,133.69,129.98,133.63,334416600,126.93
2008-03-19,134.14,134.65,130.04,130.32,345971600,123.79
2008-03-20,130.05,132.91,129.26,132.08,245320700,126.08
2008-03-24,133.31,135.81,133.24,134.72,208977300,128.60
2008-03-25,134.86,135.55,133.77,134.85,192947200,128.73
2008-03-26,134.46,135.09,133.11,133.20,196934300,127.15
2008-03-27,134.20,134.44,132.36,132.78,225153200,126.75
2008-03-28,132.99,133.36,131.06,131.51,180896100,125.54
2008-03-31,131.29,132.73,131.09,131.97,166692100,125.98
2008-04-01,133.61,136.84,133.51,136.61,254547300,130.41
2008-04-02,137.05,137.67,135.98,136.70,210910800,130.49
2008-04-03,135.96,137.44,135.71,137.04,175884800,130.82
2008-04-04,137.12,137.96,136.12,136.89,204446800,130.67
2008-04-07,137.87,138.57,136.74,136.96,154245500,130.74
2008-04-08,136.19,136.92,135.95,136.82,148937300,130.61
2008-04-09,136.61,136.80,134.89,135.83,195610600,129.66
2008-04-10,135.42,136.67,134.90,136.02,192967800,129.84
2008-04-11,134.49,135.12,133.01,133.38,222973300,127.32
2008-04-14,133.19,133.54,132.55,132.93,160522000,126.89
2008-04-15,133.58,133.69,132.33,133.24,172389200,127.19
2008-04-16,134.54,136.91,134.52,136.85,189268900,130.63
2008-04-17,136.02,137.25,135.66,137.05,179665700,130.83
2008-04-18,138.94,139.56,138.26,138.48,218530600,132.19
2008-04-21,138.23,138.98,137.85,138.55,118587400,132.26
2008-04-22,138.19,138.31,136.90,137.94,162166100,131.68
2008-04-23,138.09,138.78,137.12,137.72,193309000,131.47
2008-04-24,138.08,139.74,137.04,138.32,229381300,132.04
2008-04-25,139.40,139.89,137.91,139.60,190788100,133.26
2008-04-28,139.88,140.25,139.38,139.63,105610200,133.29
2008-04-29,139.39,139.73,138.61,139.08,125514100,132.76
2008-04-30,139.29,140.59,138.26,138.26,208395900,131.98
2008-05-01,138.38,141.12,138.27,141.12,187279500,134.71
2008-05-02,142.34,142.37,140.56,141.51,181585500,135.08
2008-05-05,141.05,141.61,140.41,140.83,118504500,134.43
2008-05-06,140.02,142.20,139.69,142.05,179339800,135.60
2008-05-07,141.89,142.04,139.13,139.52,199267300,133.18
2008-05-08,139.74,140.32,138.98,139.16,178321200,132.84
2008-05-09,138.60,139.39,138.45,138.90,152588200,132.59
2008-05-12,139.25,140.56,138.73,140.46,147865900,134.08
2008-05-13,140.80,140.89,139.73,140.48,159132200,134.10
2008-05-14,141.07,142.20,140.46,140.77,181910800,134.38
2008-05-15,141.04,142.63,140.83,142.53,166927000,136.06
2008-05-16,142.86,142.87,141.61,142.66,204236800,136.18
2008-05-19,142.81,144.30,142.30,143.05,165664400,136.55
2008-05-20,142.27,142.34,141.00,141.89,178552100,135.45
2008-05-21,141.81,142.12,139.00,139.49,252724800,133.16
2008-05-22,139.43,140.17,139.00,139.51,170820400,133.17
2008-05-23,139.05,139.66,137.52,137.64,181376400,131.39
2008-05-27,137.80,139.00,137.53,138.66,168322900,132.36
2008-05-28,139.17,140.00,138.00,139.30,181288100,132.97
2008-05-29,139.13,140.93,139.08,140.00,173927200,133.64
2008-05-30,140.47,140.74,139.94,140.35,117362000,133.98
2008-06-02,139.83,139.86,138.00,138.90,181069900,132.59
2008-06-03,139.30,139.62,137.23,138.09,271965700,131.82
2008-06-04,137.70,139.16,137.46,138.02,246637700,131.75
2008-06-05,138.58,140.89,138.32,140.78,237867100,134.39
2008-06-06,139.55,139.80,136.22,136.29,384077400,130.10
2008-06-09,136.86,137.50,135.41,136.62,228263900,130.42
2008-06-10,135.67,137.10,135.35,135.94,260138500,129.77
2008-06-11,135.97,136.26,133.93,133.94,283890100,127.86
2008-06-12,134.60,135.87,133.52,134.45,252791800,128.34
2008-06-13,135.17,136.52,134.42,136.15,244726900,129.97
2008-06-16,135.55,136.93,135.46,136.23,185832500,130.04
2008-06-17,137.07,137.12,135.37,135.57,191707700,129.41
2008-06-18,134.69,135.52,133.71,134.25,265893000,128.15
2008-06-19,134.15,135.24,133.50,134.42,304204900,128.32
2008-06-20,132.84,133.09,131.22,131.58,289275700,126.23
2008-06-23,132.09,132.23,131.32,131.45,165096400,126.11
2008-06-24,131.05,132.44,130.19,131.19,267300600,125.86
2008-06-25,131.72,133.40,131.24,131.81,287853900,126.45
2008-06-26,130.57,131.42,128.08,128.23,297775000,123.02
2008-06-27,128.28,128.86,127.04,127.53,303423400,122.35
2008-06-30,127.89,128.91,127.30,127.98,258842600,122.78
